"decimalLongitude","decimalLatitude"
-124.47,42.85
-124.46,42.88
-124.45,42.81
-124.41,42.81
-124.37,42.44
-124.34,42.35
-124.33,43.34
-124.31,42.5
-124.31,42.48
-124.3,42.86
-124.3,42.51
-124.3,42.5
-124.29,42.5
-124.29,42.49
-124.29,42.1
-124.28,42.5
-124.27,42.5
-124.24,43.14
-124.23,42.49
-124.22,43.37
-124.22,43.15
-124.19,42.12
-124.19,41.96
-124.16,42.03
-124.16,41.92
-124.13,41.93
-124.13,41.88
-124.13,41.87
-124.12,42.23
-124.11,42.02
-124.11,41.93
-124.11,41.82
-124.1,42.56
-124.09,43.88
-124.09,41.83
-124.08,44.17
-124.08,44.16
-124.07,44.22
-124.06,44.22
-124.06,42.708
-124.05,44.28
-124.04,44.22
-124.03,44.36
-124.03,44.22
-124.01,41.87
-123.98,43.65
-123.98,43.22
-123.97,46.5
-123.97,41.71
-123.96,46.79
-123.96,43.92
-123.95,46.21
-123.95,43.21
-123.94,44.87
-123.94,43.2
-123.94,43.01
-123.93,45.96
-123.92,43.24
-123.91,45.04
-123.91,43.65
-123.88,46.13
-123.88,44.16
-123.877,43.277
-123.871,43.305
-123.866,43.273
-123.86,46.3
-123.86,44.45
-123.85,46.17
-123.85,44.03
-123.84,44.41
-123.84,44.39
-123.84,43.59
-123.82,44.66
-123.82,43.79
-123.81,44.38
-123.81,44.37
-123.81,43.79
-123.8,46.7
-123.8,46.06
-123.79,46.07
-123.79,44.52
-123.79,43.15
-123.79,42.6
-123.78,45.89
-123.78,45.37
-123.78,43.55
-123.77,43.82
-123.77,43.81
-123.77,43.807
-123.75,44.13
-123.75,44.1
-123.75,43.14
-123.74,43.14
-123.72,46.85
-123.7,44
-123.7,43.14
-123.69,44.29
-123.69,43.83
-123.68,43.15
-123.67,43.54
-123.67,43.42
-123.66,43.51
-123.66,43.41
-123.658,43.898
-123.65,44.44
-123.65,43.98
-123.65,43.14
-123.64,43.99
-123.64,43.97
-123.64,43.96
-123.64,43.51
-123.63,46.95
-123.62,44.93
-123.61,43.93
-123.61,43.39
-123.6,44.53
-123.58,44.49
-123.573,43.852
-123.57,44.47
-123.56,44.44
-123.56,43.87
-123.55,46.35
-123.55,44.97
-123.55,44.5
-123.54,46.31
-123.54,44.52
-123.54,43.4
-123.53,44.75
-123.53,44.55
-123.53,44.47
-123.52,46.01
-123.52,44.51
-123.51,45.84
-123.51,44.79
-123.51,43.87
-123.508,46.384
-123.5,44.55
-123.5,44.53
-123.5,44.52
-123.49,45.63
-123.49,44.79
-123.49,44.55
-123.49,44.5
-123.49,44.47
-123.48,44.59
-123.48,44.51
-123.48,43.86
-123.48,43.42
-123.47,44.51
-123.47,44.47
-123.47,43.89
-123.47,43.86
-123.47,43.51
-123.46,46.27
-123.46,44.51
-123.45,46.11
-123.45,44.48
-123.44,43.61
-123.44,43.6
-123.43,46
-123.42,46.75
-123.41,43.85
-123.4,46.79
-123.4,45.45
-123.4,44.5
-123.4,44.45
-123.39,46.55
-123.39,45.6
-123.39,44.49
-123.39,43.9
-123.39,43.75
-123.36,43.79
-123.34,44.65
-123.34,44.64
-123.33,44.64
-123.32,46.43
-123.31,46.42
-123.28,42.85
-123.27,46.28
-123.26,46.63
-123.26,44.56
-123.25,42.9
-123.25,42.86
-123.25,42.84
-123.24,42.89
-123.24,42.88
-123.19,45.74
-123.17,46.19
-123.16,46.19
-123.157,46.193
-123.131,46.225
-123.13,46.1
-123.115,46.191
-123.11,46.38
-123.09,44.05
-123.08,46.19
-123.03,43.23
-122.95,43.23
-122.94,46.21
-122.93,43.39
-122.91,46.38
-122.9,46.06
-122.89,43.26
-122.85,43.31
-122.82,43.9
-122.76,44.51
-122.75,45.6
-122.75,45.58
-122.73,45.53
-122.72,45.54
-122.72,45.53
-122.72,45.46
-122.71,44.57
-122.71,43.95
-122.7,45.53
-122.7,44.54
-122.69,45.5
-122.69,44.6
-122.68,45.59
-122.68,45.52
-122.68,45.45
-122.68,45.44
-122.68,44.47
-122.67,45.52
-122.67,45.46
-122.67,45.45
-122.67,45.43
-122.67,44.47
-122.66,45.56
-122.66,45.49
-122.66,43.65
-122.65,45.41
-122.63,43.29
-122.627,43.295
-122.62,43.83
-122.62,43.82
-122.61,45.55
-122.58,45
-122.57,44.15
-122.56,43.8
-122.56,43.75
-122.55,44.14
-122.55,43.79
-122.53,45.47
-122.5,43.86
-122.5,43.84
-122.478,44.398
-122.47,44.4
-122.459,45.418
-122.44,44.4
-122.35,45.34
-122.34,43.75
-122.33,45.19
-122.28,44.75
-122.27,44.75
-122.25,44.73
-122.25,44.23
-122.24,45.54
-122.24,45.09
-122.24,44.17
-122.24,43.98
-122.23,45.53
-122.23,44.71
-122.22,45.54
-122.21,45.54
-122.2,45.55
-122.2,45.54
-122.2,44.85
-122.2,44.71
-122.18,45.55
-122.18,45.48
-122.17,44.76
-122.16,44.76
-122.16,44.75
-122.15,45.51
-122.13,45.58
-122.13,45.57
-122.13,44.15
-122.125,45.574
-122.12,45.58
-122.1,44.63
-122.08,45.14
-122.07,45.59
-122.06,45.59
-122.06,45.01
-122.03,44.11
-122.003,45.607
-122,45.62
-122,44.9
-121.99,45.6
-121.82,45.65
-121.8,45.64
-121.73,45.7
-121.73,45.69
-121.7,45.69
-121.7,45.68
-121.69,45.688
-121.69,45.68
-121.65,45.5
