"decimalLongitude","decimalLatitude"
-116.288,46.565
-116.292,46.567
-115.508,46.626
-115.551,46.73
-115.671,46.785
-115.465,46.817
-115.491,46.833
-115.466,46.839
-116.64,46.857
-115.624,46.873
-116.653,46.968
-115.406,47.142
-115.409,47.152
-115.405,47.176
-115.491,47.184
-115.847,47.189
-115.517,47.202
-115.843,47.21
-115.843,47.227
-115.54,47.233
-115.846,47.237
-115.856,47.248
-115.839,47.248
-115.86,47.249
-115.889,47.253
-115.839,47.254
-115.876,47.255
-116.147,47.264
-115.856,47.265
-115.789,47.265
-116.226,47.271
-115.773,47.273
-116.274,47.317
-115.76,47.319
-116.79,47.53
-116.793,47.533
-116.66,47.6
-116.684,47.617
-116.65,47.62
-116.665,47.619
-116.78,47.678
-116.036,47.762
-116.051,47.773
-116.049,47.776
-116.067,47.795
-115.938,47.796
-116.076,47.807
-115.98,48.24
-115.831,48.245
-115.992,48.425
-115.77,48.45
-115.247,48.587
-116.046,48.605
-116.073,48.608
-115.307,48.63
-115.311,48.635
-116.118,48.806
-117.408,49.044
-116.717,49.342
-116.901,49.836
-116.901,50.406
-115.297,46.046
-115.515,46.085
-115.674,46.138
-115.537,46.216
-115.432,46.227
-115.416,46.233
-115.4,46.252
-115.392,46.275
-115.39,46.28
-115.362,46.316
-116.09,46.73
-117.52,51.27
-115.48,46.21
-116.63,49.25
-114.92,47.15
-114.83,47.04
-116.64,47.73
-116.71,49.33
-114.82,47.29
-114.87,47.06
-114.86,47.15
-116.73,47.62
-116.68,47.62
-116.82,47.67
-116.67,47.62
-115.39,46.27
-115.4,46.25
-115.99,48.43
-115.83,48.24
-116.05,48.61
-116.78,47.55
-115.78,48.45
-115.41,47.72
-114.82,47.39
-115.38,47.87
-115.1,47.68
-115.12,47.66
-115.26,48.59
-115.24,48.6
-115.65,48.44
-115.76,48.45
-115.93,48.5
-115.81,48.47
-116.04,48.61
-116.18,46.74
-115.86,48.02
-115.57,47.7
-115.8,48.45
-115.66,47.74
-115.43,47.73
-115.65,48.66
