"decimalLongitude","decimalLatitude"
-121.69,45.69
-122.08,45.59
-122.2,45.57
-121.78,45.67
-121.65,45.67
-121.77,45.74
-121.78,45.63
-121.74,45.77
-122.18,45.89
-121.67,46.24
-121.73,45.6
-122.06,45.59
-121.64,45.7
-122.11,45.62
-122.09,45.55
-121.84,45.86
-122.09,45.53
-121.84,45.71
-121.953,46.025
-122.02,45.63
-121.92,46.02
-121.61,46.53
-122.22,46.09
-122.11,45.627
-122.22,46.12
-121.97,45.79
-121.711,45.676
-121.686,45.678
-122.03,45.75
-122.13,45.52
-122.12,45.58
-121.644,45.7
-122.056,45.593
-122.12,45.609
-120.97,47.134
-121.621,45.713
-121.693,45.687
-121.843,45.712
-122.114,45.615
-121.862,45.681
-122.016,45.662
-121.686,45.724
-122.127,45.573
-121.671,45.711
-122.18,45.553
-121.811,45.555
-122.105,45.58
-121.801,45.582
-121.892,45.588
-121.846,45.681
-121.769,45.689
-121.665,45.694
-121.175,47.267
-121.272,47.268
-120.832,47.275
-121.22,47.308
-121.302,47.308
-120.826,47.311
-121.231,47.331
-121.213,47.337
-121.249,47.359
-121.327,47.36
-121.232,47.362
-121.158,47.363
-121.249,47.389
-121.167,47.417
-122.193,45.576
-122.244,45.794
-121.749,45.801
-122.109,45.848
-121.886,45.857
-122.233,46.072
-121.756,46.075
-121.799,46.211
-121.813,46.231
-121.713,46.686
