"decimalLongitude","decimalLatitude"
-122.958,41.743
-123.031,41.774
-123.294,41.813
-123.265,41.833
-123.086,41.872
-123.13,41.875
-123.09,41.881
-123.132,41.886
-123.15,41.89
-123.149,41.894
-123.133,41.896
-123.12,41.9
-123.104,41.9
-123.113,41.903
-123.141,41.905
-123.09,41.94
-123.14,41.942
-123.17,41.95
-123.183,41.972
-123.12,41.978
-123.176,41.984
-123.063,41.984
-123.16,41.99
-123.128,41.996
-123.15,42
-123.142,42
-123.14,42
-123.121,42
-123.082,42
-123.039,42
-123.155,42.008
-123.153,42.013
-123.146,42.009
-123.156,42.017
-123.163,42.018
-123.144,42.02
-123.14,42.02
-123.193,42.028
-123.175,42.029
-123.18,42.03
-123.176,42.035
-123.076,42.06
-123.106,42.074
-123.099,42.076
-123.217,42.078
-123.025,42.087
-123.17,42.09
-123.02,42.091
-123.195,42.105
-123.118,42.112
-123.237,42.12
-123.08,42.12
-123.223,42.133
-123.217,42.134
-123.067,42.14
-123.06,42.149
-123,42.149
-123.081,42.153
-123.099,42.163
-123.139,42.177
-123.001,42.178
-123.079,42.207
-123.165,42.225
