"decimalLongitude","decimalLatitude"
-120.82,48.37
-121.3,49.38
-121.44,49.38
-121.45,48.53
-121.481,48.878
-121.61,47.2
-121.61,46.53
-121.62,48.49
-121.66,47.87
-121.66,45.97
-121.69,45.69
-121.7,45.69
-121.71,48.07
-121.72,48.56
-121.74,49.19
-121.74,49.18
-121.74,48.08
-121.741,47.164
-121.75,47.43
-121.77,48.24
-121.77,47.93
-121.77,47.44
-121.77,46.68
-121.77,46.67
-121.78,48.08
-121.8,48.06
-121.8,46.95
-121.81,48.06
-121.81,46.44
-121.82,48.56
-121.82,46.75
-121.83,47.83
-121.84,46.64
-121.84,46.42
-121.85,49.12
-121.85,49.09
-121.85,48.59
-121.85,45.71
-121.86,46.64
-121.87,49.04
-121.88,46.76
-121.89,49.11
-121.89,46.76
-121.9,49.31
-121.9,49.15
-121.9,46.11
-121.91,46.1
-121.92,49.17
-121.92,49.08
-121.92,46.99
-121.94,49.04
-121.94,46.42
-121.945,46.981
-121.946,46.986
-121.95,49.13
-121.95,48.09
-121.95,47.3
-121.95,45.8
-121.96,49.08
-121.96,46.81
-121.96,46.46
-121.97,49.26
-121.97,49.06
-121.97,49.05
-121.97,47.86
-121.97,47.64
-121.97,47.63
-121.98,49.07
-121.98,49.06
-121.98,49.05
-121.98,49.04
-121.98,47.55
-121.99,49.07
-121.99,49.06
-122,49.66
-122,49.04
-122,47.53
-122.01,47.53
-122.01,46.1
-122.01,45.64
-122.02,49.03
-122.02,46.11
-122.02,46.1
-122.022,45.633
-122.03,46.11
-122.04,49.01
-122.05,49.02
-122.05,47.64
-122.05,47.07
-122.05,45.45
-122.07,47.77
-122.08,47.49
-122.08,47.46
-122.09,45.61
-122.1,49
-122.1,45.38
-122.11,45.61
-122.12,47.67
-122.13,47.46
-122.16,47.87
-122.18,46.86
-122.18,45.7
-122.19,47.79
-122.21,48.7
-122.21,46.12
-122.22,49.31
-122.23,49.3
-122.23,46.76
-122.24,44.17
-122.25,49.28
-122.25,45.56
-122.26,47.14
-122.27,48.68
-122.27,47.46
-122.27,46.84
-122.28,47.79
-122.28,46.86
-122.29,48.67
-122.29,47.76
-122.3,48.7
-122.3,47.66
-122.3,46.85
-122.31,48.73
-122.31,47.67
-122.31,47.66
-122.31,46.8
-122.32,46.83
-122.32,45.93
-122.33,45.94
-122.338,46.471
-122.34,48.71
-122.34,48.69
-122.35,48.67
-122.36,48.7
-122.37,48.73
-122.37,46.56
-122.41,48.62
-122.41,47.25
-122.41,46.79
-122.43,48.75
-122.43,47.16
-122.45,43.54
-122.459,45.418
-122.46,45.39
-122.47,49.49
-122.48,47.47
-122.52,44.7
